Trap_pair,Buoy_number,Bait_type,Date_set,Time_set,SST_set,Date_retrieved,Time_retrieved,Deployment_nights,Deployment_time_hours,SST_retrieved,Lobster,Num_short,Num_legalsize,Num_Vnotch,Num_egged,Total_crab,Rock_crab,Green_crab,Bait remaining,Notes
,S16,100F,06/13,600,55,06/16,1000,3,72,65,2,2,0,0,0,0,0,0,90,
,S15,HERRING,06/13,600,55,06/16,1000,3,72,65,3,1,1,1,0,1,1,0,90,
,S17,HERRING,06/13,600,55,06/16,1000,3,72,65,0,0,0,0,0,15,12,3,0,
,S18,100F,06/13,600,55,06/16,1000,3,72,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,STUCK
,S11,HERRING,06/13,600,55,06/16,1000,3,72,65,0,0,0,0,0,8,8,0,5,
,S12,100F,06/13,600,55,06/16,1000,3,72,65,0,0,0,0,0,0,0,0,75,
,S13,HERRING,06/13,600,55,06/16,1000,3,72,65,0,0,0,0,0,0,0,0,5,1 skate
,S14,100F,06/13,600,55,06/16,1000,3,72,65,0,0,0,0,0,13,13,0,5,
,S7,HERRING,06/13,600,55,06/16,1000,3,72,65,3,1,1,1,0,17,17,0,5,
,S8,100F,06/13,600,55,06/16,1000,3,72,65,1,0,1,0,0,11,11,0,0,
,S9,HERRING,06/13,600,55,06/16,1000,3,72,65,0,0,0,0,0,0,0,0,90,1 Cunner
,S10,50:50,06/13,600,55,06/16,1000,3,72,65,3,3,0,0,0,0,0,0,80,
,S3,HERRING,06/13,600,55,06/16,1000,3,72,65,3,1,1,1,0,1,1,0,90,
,S4,50:50,06/13,600,55,06/16,1000,3,72,65,1,1,0,0,0,0,0,0,90,
,S19,HERRING,06/13,600,55,06/16,1000,3,72,65,0,0,0,0,0,11,11,0,5,
,S20,50:50,06/13,600,55,06/16,1000,3,72,65,0,0,0,0,0,6,6,0,0,
,N9,50:50,06/13,600,55,06/16,1000,3,72,65,2,1,1,0,0,9,9,0,25,
,N5,HERRING,06/13,600,55,06/16,1000,3,72,65,5,4,1,0,0,7,0,0,5,
,S22,50:50,06/13,600,55,06/16,1000,3,72,65,3,3,0,0,0,0,0,0,10,1 windowpane
,S21,HERRING,06/13,600,55,06/16,1000,3,72,65,3,3,0,0,0,0,0,0,50,
,S16,HERRING,06/16,1000,65,06/20,1400,4,96,63,4,3,1,0,0,0,0,0,50,
,S15,50:50,06/16,1000,65,06/20,1400,4,96,63,3,3,0,0,0,0,0,0,80,
,S17,50:50,06/16,1000,65,06/20,1400,4,96,63,4,2,2,0,0,3,3,0,25,
,S18,NA,06/16,1000,65,06/20,1400,4,96,63,2,2,0,0,0,10,10,0,0,
,S11,100F,06/16,1000,65,06/20,1400,4,96,63,1,1,0,0,0,1,1,0,0,1 urchin
,S12,HERRING,06/16,1000,65,06/20,1400,4,96,63,4,3,1,0,0,0,0,0,5,
