"Plot Title: ChengLab_21299522"
"#","Date Time, GMT-04:00","Temp, °C (LGR S/N: 21299522, SEN S/N: 21299522)","Coupler Detached (LGR S/N: 21299522)","Coupler Attached (LGR S/N: 21299522)","Host Connected (LGR S/N: 21299522)","Stopped (LGR S/N: 21299522)","End Of File (LGR S/N: 21299522)"
1,07/07/23 09:00:00 AM,16.963,Logged,,,,
2,07/07/23 09:15:00 AM,17.106,,,,,
3,07/07/23 09:30:00 AM,17.320,,,,,
4,07/07/23 09:45:00 AM,17.534,,,,,
5,07/07/23 10:00:00 AM,17.772,,,,,
6,07/07/23 10:15:00 AM,17.986,,,,,
7,07/07/23 10:30:00 AM,18.224,,,,,
8,07/07/23 10:45:00 AM,18.533,,,,,
9,07/07/23 11:00:00 AM,18.842,,,,,
10,07/07/23 11:15:00 AM,19.199,,,,,
11,07/07/23 11:30:00 AM,19.698,,,,,
12,07/07/23 11:45:00 AM,17.986,,,,,
13,07/07/23 12:00:00 PM,18.247,,,,,
14,07/07/23 12:15:00 PM,19.555,,,,,
15,07/07/23 12:30:00 PM,20.936,,,,,
16,07/07/23 12:45:00 PM,21.795,,,,,
17,07/07/23 01:00:00 PM,24.388,,,,,
18,07/07/23 01:15:00 PM,25.331,,,,,
19,07/07/23 01:30:00 PM,25.768,,,,,
20,07/07/23 01:45:00 PM,26.085,,,,,
21,07/07/23 02:00:00 PM,26.304,,,,,
22,07/07/23 02:15:00 PM,26.280,,,,,
23,07/07/23 02:30:00 PM,26.280,,,,,
24,07/07/23 02:45:00 PM,26.280,,,,,
25,07/07/23 03:00:00 PM,26.280,,,,,
26,07/07/23 03:15:00 PM,26.304,,,,,
27,07/07/23 03:30:00 PM,26.304,,,,,
28,07/07/23 03:45:00 PM,26.329,,,,,
29,07/07/23 04:00:00 PM,26.329,,,,,
30,07/07/23 04:15:00 PM,26.353,,,,,
31,07/07/23 04:30:00 PM,26.378,,,,,
32,07/07/23 04:45:00 PM,26.378,,,,,
33,07/07/23 05:00:00 PM,26.378,,,,,
34,07/07/23 05:15:00 PM,26.378,,,,,
35,07/07/23 05:30:00 PM,26.378,,,,,
36,07/07/23 05:45:00 PM,26.353,,,,,
37,07/07/23 06:00:00 PM,26.353,,,,,
38,07/07/23 06:15:00 PM,26.329,,,,,
39,07/07/23 06:30:00 PM,26.329,,,,,
40,07/07/23 06:45:00 PM,26.304,,,,,
41,07/07/23 07:00:00 PM,26.256,,,,,
